Power (J=31) X,Power (J=31) YRe,Power (J=31) YReImag,Power (J=63) X,Power (J=63) YRe,Power (J=63) YReImag,Power (J=127) X,Power (J=127) YRe,Power (J=127) YReImag,Power (J=255) X,Power (J=255) YRe,Power (J=255) YReImag,Power (J=383) X,Power (J=383) YRe,Power (J=383) YReImag,Power (J=511) X,Power (J=511) YRe,Power (J=511) YReImag,Power (J=639) X,Power (J=639) YRe,Power (J=639) YReImag,Power (J=767) X,Power (J=767) YRe,Power (J=767) YReImag,Power (J=895) X,Power (J=895) YRe,Power (J=895) YReImag,Power (J=989) X,Power (J=989) YRe,Power (J=989) YReImag
1220703.125,3.237739569871378e-06,1.547886772474088e-05,1220703.125,7.523141269508337e-05,7.823303338413318e-06,1220703.125,0.0002296607753288115,3.198145926978875e-06,1220703.125,0.0004798070014895415,2.249615951449427e-06,1220703.125,0.0006375540172433395,-2.810750767470504e-07,1220703.125,0.0006952388189899906,1.427706738983098e-06,1220703.125,0.0006622895251681662,-1.585094373740016e-07,1220703.125,0.0005062880360412037,-3.758760106670207e-07,1220703.125,0.0002748677602819331,-1.337699900547887e-07,1220703.125,7.662891823563117e-05,-1.758831731636721e-06
1342773.4375,-1.339751162030671e-05,5.095938859963595e-05,1342773.4375,9.661957841286717e-05,7.925567180211071e-05,1342773.4375,0.0002392794173922739,5.921671197356787e-05,1342773.4375,0.0004769084951998662,1.267713233046923e-06,1342773.4375,0.0006347379637965527,5.0175546159246e-05,1342773.4375,0.0006923312666277894,-0.000136376504370908,1342773.4375,0.0006645117713043512,0.0001238735328557496,1342773.4375,0.0005147389281525233,3.428522178234738e-05,1342773.4375,0.0002842804195948958,1.940903575102133e-05,1342773.4375,8.143199760085791e-05,0.0001566934309721819
1464843.75,-1.255808740450507e-05,2.317163932784592e-05,1464843.75,8.70333718475678e-05,8.485128479080044e-06,1464843.75,0.0002407523761343373,-6.369568861944293e-07,1464843.75,0.0004914415106176095,-1.712594548585701e-06,1464843.75,0.0006479689594446637,-1.341348655475993e-06,1464843.75,0.0007006074292489153,-9.228011965919189e-08,1464843.75,0.0006705860807906412,1.522537135766429e-07,1464843.75,0.0005157189587345203,1.110503888915747e-07,1464843.75,0.0002861443819880773,-1.161858283252101e-06,1464843.75,8.640253195439837e-05,-1.243310063730267e-06
1586914.0625,-2.520808958520425e-05,-0.0001677669100898323,1586914.0625,8.27303276995556e-05,-1.024240112404479e-05,1586914.0625,0.0002239161312474151,-9.558848578136061e-05,1586914.0625,0.0004739427441753685,-0.0001800851066459871,1586914.0625,0.0006385267926456373,6.12450326380622e-05,1586914.0625,0.0007011006663854323,1.107940744622978e-05,1586914.0625,0.0006636147972557293,2.670083508012861e-05,1586914.0625,0.0005223850067279907,0.000189188305797491,1586914.0625,0.0002859844849913265,4.222087360650398e-05,1586914.0625,7.395970224064114e-05,-5.613159164769487e-05
1708984.375,-2.957749141386442e-05,3.477156959915785e-05,1708984.375,6.803082345706952e-05,5.647741549676914e-06,1708984.375,0.0002372485071988635,1.223615328941626e-06,1708984.375,0.00047616827759892,-2.681217594828823e-09,1708984.375,0.0006385277871902571,3.905432253404197e-07,1708984.375,0.0006973996374806484,3.746453202914156e-07,1708984.375,0.0006608353431129759,3.498146423371487e-07,1708984.375,0.0005032242720040905,4.211135910625593e-07,1708984.375,0.0002746662683118345,2.082154419482746e-06,1708984.375,7.410807631849558e-05,-1.258764538117514e-07
1831054.6875,-1.514299566269229e-05,0.0001757033951196723,1831054.6875,6.966581834464985e-05,4.091535500328284e-05,1831054.6875,0.0002136187740326591,-0.0001112510820983468,1831054.6875,0.0004749151430547686,-5.468991626844751e-05,1831054.6875,0.0006391937390132604,-2.138664372766984e-06,1831054.6875,0.0006984143049742984,-5.251451641207659e-05,1831054.6875,0.0006554326416611477,-3.645672891376957e-05,1831054.6875,0.0005066745212788854,-0.0001310333287287315,1831054.6875,0.0002831279542143898,-1.42009560124901e-05,1831054.6875,8.670271839712473e-05,0.000222013830072791
1953125,-3.490816527729161e-06,2.276196137652734e-05,1953125,9.041091704269732e-05,2.856572228406044e-06,1953125,0.0002387052186067042,1.245933296200025e-05,1953125,0.0004772035360696345,-4.337424596124848e-06,1953125,0.000657016717163176,-3.28595369689939e-07,1953125,0.0007095584274817772,-3.651421768225552e-06,1953125,0.0006750769799010008,2.082676890468741e-07,1953125,0.0005213897211733335,9.490109562994563e-07,1953125,0.0002932669007266933,1.261869213233182e-06,1953125,8.50409253527425e-05,-1.882931167635803e-06
2075195.3125,-2.103490318428997e-05,0.0001317742287702157,2075195.3125,6.900564536468047e-05,-9.592587512966802e-05,2075195.3125,0.0002421395067887831,5.886556476430153e-05,2075195.3125,0.0004699982752884383,-0.000218157043540258,2075195.3125,0.000654092234006202,0.0002596084557754584,2075195.3125,0.0006887767106897371,-0.0001401551398266197,2075195.3125,0.0006704113650348729,0.0002148398031049517,2075195.3125,0.0005125876648397527,-1.186413893303757e-05,2075195.3125,0.0002855008562447792,1.112443296145929e-05,2075195.3125,7.324243361850859e-05,-5.280657109609624e-05
2197265.625,-1.767816038991861e-05,4.033260061170575e-05,2197265.625,6.1740328577461e-05,8.115697043130485e-06,2197265.625,0.0002334641901200874,3.921310532980865e-07,2197265.625,0.0004794680108303781,2.068553038534284e-06,2197265.625,0.0006373894726307167,7.510047384749294e-07,2197265.625,0.0006963600950212379,5.1006959711989e-07,2197265.625,0.0006546162008732902,1.913734984413536e-06,2197265.625,0.0005041799626449705,8.903873148099906e-07,2197265.625,0.0002761980015763332,3.689255059193095e-07,2197265.625,7.85316522514929e-05,-6.903308641322025e-07
2319335.9375,-8.536004807240842e-07,5.801826053586537e-05,2319335.9375,8.37698793591322e-05,-3.164787675481285e-05,2319335.9375,0.0002347587654808776,-1.727107408409576e-05,2319335.9375,0.0004715081136867702,-0.0001548759479184283,2319335.9375,0.0006436227243900197,5.166884389116284e-05,2319335.9375,0.0007034450624051821,0.0001258226253165775,2319335.9375,0.0006479427963740512,-9.977803389213361e-05,2319335.9375,0.0005239625858190705,8.356943554167266e-05,2319335.9375,0.0002830265689917491,1.145002995815256e-05,2319335.9375,7.171587468359362e-05,-8.457982998851472e-05
